S.N.,Open,High,Low,Close,Change,% Change,Turnover,Date
151,"2,799.13","2,813.59","2,784.49","2,785.74",-10.5,-0.37,"6,161,894,734.55",8/13/2025
152,"2,824.00","2,828.57","2,796.56","2,796.24",-26.22,-0.92,"6,918,983,507.82",8/12/2025
153,"2,852.72","2,875.45","2,820.05","2,822.46",-27.9,-0.97,"10,210,142,308.44",8/11/2025
154,"2,831.29","2,861.34","2,831.27","2,850.37",18.3,0.64,"8,537,581,254.95",8/7/2025
155,"2,840.03","2,856.63","2,826.86","2,832.06",-1.94,-0.06,"7,631,375,952.79",8/6/2025
156,"2,875.60","2,906.24","2,831.63","2,834.00",-41.35,-1.43,"9,333,976,881.84",8/5/2025
157,"2,857.27","2,890.05","2,832.60","2,875.36",16.46,0.57,"10,822,449,402.92",8/4/2025
158,"2,923.87","2,923.88","2,856.95","2,858.90",-63.73,-2.18,"13,075,004,920.33",8/3/2025
159,"2,961.99","2,967.03","2,915.47","2,922.63",-31.5,-1.06,"15,988,911,994.36",7/31/2025
160,"3,008.33","3,020.17","2,947.71","2,954.14",-47.93,-1.59,"16,441,354,408.52",7/30/2025
161,"2,976.00","3,028.79","2,976.00","3,002.07",30.76,1.03,"18,529,322,885.92",7/29/2025
162,"2,967.51","2,976.92","2,917.51","2,971.31",7.1,0.23,"19,360,873,034.29",7/28/2025
163,"2,984.91","3,013.17","2,958.34","2,964.20",-18.44,-0.61,"26,577,438,237.50",7/27/2025
164,"2,982.97","2,990.45","2,963.79","2,982.64",3.76,0.12,"18,490,428,794.07",7/24/2025
165,"2,976.19","2,992.26","2,947.86","2,978.88",5.17,0.17,"19,575,270,557.66",7/23/2025
166,"2,895.07","2,975.77","2,894.48","2,973.70",80.97,2.79,"20,085,367,293.75",7/22/2025
167,"2,874.18","2,902.94","2,856.88","2,892.72",21.76,0.75,"16,327,115,238.99",7/21/2025
168,"2,878.41","2,922.84","2,861.06","2,870.95",0.32,0.01,"21,464,994,133.01",7/20/2025
169,"2,797.41","2,878.77","2,796.58","2,870.63",75.84,2.71,"16,592,105,455.16",7/17/2025
170,"2,759.58","2,803.78","2,759.11","2,794.78",34.61,1.25,"14,034,839,880.49",7/16/2025
171,"2,725.63","2,763.27","2,724.90","2,760.17",34.46,1.26,"9,419,165,807.84",7/15/2025
172,"2,761.96","2,765.91","2,723.82","2,725.71",-35.09,-1.27,"8,172,143,326.07",7/14/2025
173,"2,767.57","2,798.75","2,757.89","2,760.80",29,1.06,"11,416,428,466.99",7/13/2025
174,"2,708.43","2,743.09","2,706.89","2,731.80",25.89,0.95,"9,682,488,739.83",7/10/2025
175,"2,679.37","2,707.91","2,679.16","2,705.90",22.04,0.82,"7,451,877,102.10",7/9/2025
176,"2,683.77","2,690.13","2,662.59","2,683.86",-0.14,0,"6,574,166,814.73",7/8/2025
177,"2,715.59","2,718.10","2,680.45","2,684.01",-22.35,-0.82,"8,377,327,147.77",7/7/2025
